Execution,ID,Interval,Transfer,Bandwidth
2,1,17.0000,2.72,22.8
2,4,17.0000,2.65,22.2
2,3,17.0000,2.55,21.4
2,1,18.0000,2.73,22.9
2,3,18.0000,2.68,22.5
2,4,18.0000,2.67,22.4
2,2,18.0000,4.12,34.6
2,3,19.0000,1.85,15.5
2,4,19.0000,1.67,14.0
2,2,19.0000,2.39,20.1
2,1,19.0000,3.92,32.9
2,3,20.0000,2.61,21.9
2,2,20.0000,2.73,22.9
2,1,20.0000,2.54,21.3
2,4,20.0000,4.12,34.6
2,3,21.0000,2.42,20.3
2,2,21.0000,2.61,21.9
2,4,21.0000,2.53,21.2
2,1,21.0000,2.68,22.5
2,2,22.0000,2.67,22.4
2,1,22.0000,2.66,22.3
2,4,22.0000,2.67,22.4
2,3,22.0000,3.98,33.4
2,2,23.0000,2.61,21.9
2,4,23.0000,2.24,18.8
2,1,23.0000,2.61,21.9
2,3,23.0000,2.73,22.9
2,4,24.0000,1.98,16.7
2,2,24.0000,2.55,21.4
2,1,24.0000,2.62,22.0
2,3,24.0000,2.37,19.9
2,4,25.0000,2.55,21.4
2,1,25.0000,2.75,23.1
2,2,25.0000,2.29,19.2
2,3,25.0000,2.75,23.1
2,3,26.0000,2.75,23.1
2,4,26.0000,2.30,19.3
2,2,26.0000,2.42,20.3
2,1,26.0000,4.12,34.6
2,3,27.0000,2.63,22.1
2,4,27.0000,2.24,18.8
2,2,27.0000,2.30,19.3
2,1,27.0000,2.75,23.1
2,4,28.0000,2.17,18.2
2,2,28.0000,2.42,20.3
2,1,28.0000,2.75,23.1
2,3,28.0000,4.05,33.9
2,1,29.0000,2.75,23.1
2,4,29.0000,2.55,21.4
2,2,29.0000,2.30,19.3
2,3,29.0000,2.60,21.8
2,1,30.0000,2.64,22.1
2,4,30.0000,2.48,20.8
2,3,30.0000,2.74,23.0
2,2,30.0000,2.67,22.4
2,3,31.0000,2.55,21.4
2,4,31.0000,2.55,21.4
2,2,31.0000,2.55,21.4
2,1,31.0000,4.12,34.6
