ID,Interval,Num_Fluxos,Bandwidth_Total,Fluxos_Detalhes
2,28.0000-29.0000,4,85.6,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 19.300 Mbits/s; Fluxo 3: 21.800 Mbits/s; Fluxo 4: 21.400 Mbits/s
2,29.0000-30.0000,4,88.3,Fluxo 1: 22.100 Mbits/s; Fluxo 2: 22.400 Mbits/s; Fluxo 3: 23.000 Mbits/s; Fluxo 4: 20.800 Mbits/s
2,30.0000-31.0000,4,98.8,Fluxo 1: 34.600 Mbits/s; Fluxo 2: 21.400 Mbits/s; Fluxo 3: 21.400 Mbits/s; Fluxo 4: 21.400 Mbits/s
2,31.0000-32.0000,4,95.0,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 20.300 Mbits/s; Fluxo 3: 32.800 Mbits/s; Fluxo 4: 18.800 Mbits/s
2,32.0000-33.0000,4,90.4,Fluxo 1: 34.600 Mbits/s; Fluxo 2: 19.300 Mbits/s; Fluxo 3: 18.200 Mbits/s; Fluxo 4: 18.300 Mbits/s
2,33.0000-34.4617,1,11.9,Fluxo 1: 11.900 Mbits/s
2,33.0000-34.0000,3,60.4,Fluxo 2: 17.700 Mbits/s; Fluxo 3: 22.400 Mbits/s; Fluxo 4: 20.300 Mbits/s
2,34.0000-35.0000,3,73.2,Fluxo 2: 19.800 Mbits/s; Fluxo 3: 34.600 Mbits/s; Fluxo 4: 18.800 Mbits/s
2,35.0000-36.0000,2,69.2,Fluxo 2: 34.600 Mbits/s; Fluxo 4: 34.600 Mbits/s
2,35.0000-36.0717,1,9.25,Fluxo 3: 9.250 Mbits/s
2,36.0000-36.8268,1,6.95,Fluxo 2: 6.950 Mbits/s
2,36.0000-37.2124,1,32.7,Fluxo 4: 32.700 Mbits/s
3,0.0000-1.0000,4,141.6,Fluxo 1: 38.800 Mbits/s; Fluxo 2: 33.600 Mbits/s; Fluxo 3: 46.100 Mbits/s; Fluxo 4: 23.100 Mbits/s
3,1.0000-2.0000,4,103.9,Fluxo 1: 29.400 Mbits/s; Fluxo 2: 27.300 Mbits/s; Fluxo 3: 31.500 Mbits/s; Fluxo 4: 15.700 Mbits/s
3,2.0000-3.0000,4,100.80000000000001,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 33.600 Mbits/s; Fluxo 3: 23.100 Mbits/s; Fluxo 4: 21.000 Mbits/s
3,3.0000-4.0000,4,91.2,Fluxo 1: 32.700 Mbits/s; Fluxo 2: 20.700 Mbits/s; Fluxo 3: 23.100 Mbits/s; Fluxo 4: 14.700 Mbits/s
3,4.0000-5.0000,4,91.6,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 30.700 Mbits/s; Fluxo 3: 20.600 Mbits/s; Fluxo 4: 17.200 Mbits/s
3,5.0000-6.0000,4,109.0,Fluxo 1: 31.800 Mbits/s; Fluxo 2: 27.100 Mbits/s; Fluxo 3: 35.000 Mbits/s; Fluxo 4: 15.100 Mbits/s
3,6.0000-7.0000,4,84.6,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 22.500 Mbits/s; Fluxo 3: 22.300 Mbits/s; Fluxo 4: 16.700 Mbits/s
3,7.0000-8.0000,4,94.0,Fluxo 1: 34.600 Mbits/s; Fluxo 2: 20.300 Mbits/s; Fluxo 3: 20.300 Mbits/s; Fluxo 4: 18.800 Mbits/s
3,8.0000-9.0000,4,93.0,Fluxo 1: 33.600 Mbits/s; Fluxo 2: 20.300 Mbits/s; Fluxo 3: 21.900 Mbits/s; Fluxo 4: 17.200 Mbits/s
3,9.0000-10.0000,4,89.9,Fluxo 1: 34.600 Mbits/s; Fluxo 2: 16.700 Mbits/s; Fluxo 3: 21.900 Mbits/s; Fluxo 4: 16.700 Mbits/s
3,10.0000-11.0000,4,81.0,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 21.400 Mbits/s; Fluxo 3: 17.700 Mbits/s; Fluxo 4: 18.800 Mbits/s
3,11.0000-12.0000,4,97.7,Fluxo 1: 34.600 Mbits/s; Fluxo 2: 21.400 Mbits/s; Fluxo 3: 21.400 Mbits/s; Fluxo 4: 20.300 Mbits/s
3,12.0000-13.0000,4,82.5,Fluxo 1: 34.600 Mbits/s; Fluxo 2: 9.900 Mbits/s; Fluxo 3: 21.900 Mbits/s; Fluxo 4: 16.100 Mbits/s
3,13.0000-14.0000,4,86.2,Fluxo 1: 33.600 Mbits/s; Fluxo 2: 16.100 Mbits/s; Fluxo 3: 18.200 Mbits/s; Fluxo 4: 18.300 Mbits/s
3,14.0000-15.0000,4,97.7,Fluxo 1: 34.600 Mbits/s; Fluxo 2: 22.400 Mbits/s; Fluxo 3: 20.900 Mbits/s; Fluxo 4: 19.800 Mbits/s
3,15.0000-16.0000,4,94.5,Fluxo 1: 34.600 Mbits/s; Fluxo 2: 21.400 Mbits/s; Fluxo 3: 22.400 Mbits/s; Fluxo 4: 16.100 Mbits/s
3,16.0000-17.0000,4,102.0,Fluxo 1: 34.600 Mbits/s; Fluxo 2: 28.700 Mbits/s; Fluxo 3: 17.800 Mbits/s; Fluxo 4: 20.900 Mbits/s
3,17.0000-18.0000,4,71.2,Fluxo 1: 22.300 Mbits/s; Fluxo 2: 17.200 Mbits/s; Fluxo 3: 18.800 Mbits/s; Fluxo 4: 12.900 Mbits/s
3,18.0000-19.0000,4,95.7,Fluxo 1: 34.600 Mbits/s; Fluxo 2: 23.100 Mbits/s; Fluxo 3: 18.200 Mbits/s; Fluxo 4: 19.800 Mbits/s
3,19.0000-20.0000,4,80.60000000000001,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 23.100 Mbits/s; Fluxo 3: 18.800 Mbits/s; Fluxo 4: 15.600 Mbits/s
3,20.0000-21.0000,4,108.4,Fluxo 1: 30.500 Mbits/s; Fluxo 2: 34.600 Mbits/s; Fluxo 3: 27.600 Mbits/s; Fluxo 4: 15.700 Mbits/s
3,21.0000-22.0000,4,96.1,Fluxo 1: 34.600 Mbits/s; Fluxo 2: 20.300 Mbits/s; Fluxo 3: 21.900 Mbits/s; Fluxo 4: 19.300 Mbits/s
3,22.0000-23.0000,4,84.6,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 21.400 Mbits/s; Fluxo 3: 21.900 Mbits/s; Fluxo 4: 18.200 Mbits/s
3,23.0000-24.0000,4,95.2,Fluxo 1: 34.600 Mbits/s; Fluxo 2: 20.900 Mbits/s; Fluxo 3: 20.900 Mbits/s; Fluxo 4: 18.800 Mbits/s
3,24.0000-25.0000,4,84.6,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 20.800 Mbits/s; Fluxo 3: 21.900 Mbits/s; Fluxo 4: 18.800 Mbits/s
3,25.0000-26.0000,4,90.9,Fluxo 1: 34.600 Mbits/s; Fluxo 2: 19.800 Mbits/s; Fluxo 3: 18.800 Mbits/s; Fluxo 4: 17.700 Mbits/s
3,26.0000-27.0000,4,98.9,Fluxo 1: 33.600 Mbits/s; Fluxo 2: 22.900 Mbits/s; Fluxo 3: 23.100 Mbits/s; Fluxo 4: 19.300 Mbits/s
3,27.0000-28.3405,1,7.84,Fluxo 1: 7.840 Mbits/s
3,27.0000-28.0000,3,56.7,Fluxo 2: 18.800 Mbits/s; Fluxo 3: 20.700 Mbits/s; Fluxo 4: 17.200 Mbits/s
3,28.0000-29.0000,3,64.4,Fluxo 2: 23.100 Mbits/s; Fluxo 3: 20.400 Mbits/s; Fluxo 4: 20.900 Mbits/s
3,29.0000-30.0000,3,103.80000000000001,Fluxo 2: 34.600 Mbits/s; Fluxo 3: 34.600 Mbits/s; Fluxo 4: 34.600 Mbits/s
3,30.0000-31.0000,3,92.30000000000001,Fluxo 2: 34.600 Mbits/s; Fluxo 3: 34.600 Mbits/s; Fluxo 4: 23.100 Mbits/s
3,31.0000-32.0000,3,92.30000000000001,Fluxo 2: 23.100 Mbits/s; Fluxo 3: 34.600 Mbits/s; Fluxo 4: 34.600 Mbits/s
